Date,AAPL,SPY,MSFT,ETH ,BTC
5/10/2016,23.355,208.449997,51.02,#N/A,#N/A
5/11/2016,23.127501,206.5,51.049999,#N/A,#N/A
5/12/2016,22.584999,206.559998,51.509998,#N/A,#N/A
5/13/2016,22.629999,204.759995,51.080002,#N/A,#N/A
5/16/2016,23.469999,206.779999,51.830002,#N/A,#N/A
5/17/2016,23.372499,204.850006,50.509998,#N/A,#N/A
5/18/2016,23.639999,204.910004,50.810001,#N/A,#N/A
5/19/2016,23.549999,204.199997,50.32,#N/A,#N/A
5/20/2016,23.805,205.490005,50.619999,#N/A,#N/A
5/23/2016,24.1075,205.210007,50.029999,#N/A,#N/A
5/24/2016,24.475,207.869995,51.59,#N/A,#N/A
5/25/2016,24.905001,209.279999,52.119999,#N/A,#N/A
5/26/2016,25.102501,209.339996,51.889999,#N/A,#N/A
5/27/2016,25.0875,210.240005,52.32,#N/A,#N/A
5/31/2016,24.965,209.839996,53,#N/A,#N/A
6/1/2016,24.615,210.270004,52.849998,#N/A,#N/A
6/2/2016,24.43,210.910004,52.48,#N/A,#N/A
6/3/2016,24.48,210.279999,51.790001,#N/A,#N/A
6/6/2016,24.657499,211.350006,52.130001,#N/A,#N/A
6/7/2016,24.7575,211.679993,52.099998,#N/A,#N/A
6/8/2016,24.735001,212.369995,52.040001,#N/A,#N/A
6/9/2016,24.9125,212.080002,51.619999,#N/A,#N/A
6/10/2016,24.7075,210.070007,51.48,#N/A,#N/A
6/13/2016,24.334999,208.449997,50.139999,#N/A,#N/A
6/14/2016,24.365,208.039993,49.830002,#N/A,#N/A
6/15/2016,24.285,207.75,49.689999,#N/A,#N/A
6/16/2016,24.387501,208.369995,50.389999,#N/A,#N/A
6/17/2016,23.8325,206.520004,50.130001,#N/A,#N/A
6/20/2016,23.775,207.850006,50.07,#N/A,#N/A
6/21/2016,23.977501,208.440002,51.189999,#N/A,#N/A
6/22/2016,23.887501,208.100006,50.990002,#N/A,#N/A
6/23/2016,24.025,210.809998,51.91,#N/A,#N/A
6/24/2016,23.35,203.240005,49.830002,#N/A,#N/A
